"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
16	0.929802984109387	4	4	"Churn"	"Yes"	0
17	0.935474688324213	4	4	"Churn"	"Yes"	0
18	0.921932898720026	4	4	"Churn"	"Yes"	0
19	0.911984090599328	4	4	"Churn"	"Yes"	0
20	0.879346920714249	4	4	"Churn"	"Yes"	0
21	0.889325777112717	4	4	"Churn"	"Yes"	0
22	0.941256830601093	4	4	"Churn"	"Yes"	0
23	0.930092592592593	4	4	"Churn"	"Yes"	0
24	0.893490658800393	4	4	"Churn"	"Yes"	0
25	0.890399462907016	4	4	"Churn"	"Yes"	0
26	0.946942950666355	4	4	"Churn"	"Yes"	0
27	0.922441123188406	4	4	"Churn"	"Yes"	0
28	0.932046410235029	4	4	"Churn"	"Yes"	0
29	0.925304669313981	4	4	"Churn"	"Yes"	0
30	0.912362000817773	4	4	"Churn"	"Yes"	0
1	0.892550982714917	5	5	"Churn"	"Yes"	0
2	0.940023789758014	5	5	"Churn"	"Yes"	0
3	0.915477180339985	5	5	"Churn"	"Yes"	0
4	0.93247905643739	5	5	"Churn"	"Yes"	0
5	0.924672136442923	5	5	"Churn"	"Yes"	0
6	0.940711534934898	5	5	"Churn"	"Yes"	0
7	0.938069381598793	5	5	"Churn"	"Yes"	0
8	0.909454844421958	5	5	"Churn"	"Yes"	0
9	0.939060431786024	5	5	"Churn"	"Yes"	0
10	0.93555012092797	5	5	"Churn"	"Yes"	0
11	0.909503711798621	5	5	"Churn"	"Yes"	0
12	0.933567420686735	5	5	"Churn"	"Yes"	0
13	0.906897790774034	5	5	"Churn"	"Yes"	0
14	0.885044642857143	5	5	"Churn"	"Yes"	0
15	0.917898404547955	5	5	"Churn"	"Yes"	0
16	0.928554945588807	5	5	"Churn"	"Yes"	0
17	0.943599242315254	5	5	"Churn"	"Yes"	0
18	0.911957335329341	5	5	"Churn"	"Yes"	0
19	0.935210600466382	5	5	"Churn"	"Yes"	0
20	0.911099332370985	5	5	"Churn"	"Yes"	0
21	0.950395067198346	5	5	"Churn"	"Yes"	0
22	0.918096768639155	5	5	"Churn"	"Yes"	0
23	0.942242761368053	5	5	"Churn"	"Yes"	0
24	0.925103382070595	5	5	"Churn"	"Yes"	0
25	0.9068365798128	5	5	"Churn"	"Yes"	0
26	0.931328320802005	5	5	"Churn"	"Yes"	0
27	0.922262420052975	5	5	"Churn"	"Yes"	0
28	0.903311274157196	5	5	"Churn"	"Yes"	0
29	0.941701815514396	5	5	"Churn"	"Yes"	0
30	0.929296743873783	5	5	"Churn"	"Yes"	0
1	0.940047633921599	6	6	"Churn"	"Yes"	0
2	0.864572734923566	6	6	"Churn"	"Yes"	0
3	0.924427427038854	6	6	"Churn"	"Yes"	0
4	0.927607935804657	6	6	"Churn"	"Yes"	0
5	0.881988669907425	6	6	"Churn"	"Yes"	0
6	0.921363588831956	6	6	"Churn"	"Yes"	0
7	0.944418223533268	6	6	"Churn"	"Yes"	0
8	0.944643644204081	6	6	"Churn"	"Yes"	0
9	0.927906339860331	6	6	"Churn"	"Yes"	0
10	0.929265912873788	6	6	"Churn"	"Yes"	0
11	0.930732285429142	6	6	"Churn"	"Yes"	0
12	0.903929924242424	6	6	"Churn"	"Yes"	0
13	0.90545788009107	6	6	"Churn"	"Yes"	0
14	0.931745382277297	6	6	"Churn"	"Yes"	0
15	0.914571098431153	6	6	"Churn"	"Yes"	0
16	0.919520649933887	6	6	"Churn"	"Yes"	0
17	0.937116138763198	6	6	"Churn"	"Yes"	0
18	0.942758664305591	6	6	"Churn"	"Yes"	0
19	0.89453125	6	6	"Churn"	"Yes"	0
20	0.916488687782805	6	6	"Churn"	"Yes"	0
21	0.937748952534007	6	6	"Churn"	"Yes"	0
22	0.934125102743398	6	6	"Churn"	"Yes"	0
23	0.9432416920163	6	6	"Churn"	"Yes"	0
24	0.923761224885329	6	6	"Churn"	"Yes"	0
25	0.926562589680308	6	6	"Churn"	"Yes"	0
26	0.910924713584288	6	6	"Churn"	"Yes"	0
27	0.907715582450832	6	6	"Churn"	"Yes"	0
28	0.935357581239098	6	6	"Churn"	"Yes"	0
29	0.958014083597132	6	6	"Churn"	"Yes"	0
30	0.941729015665186	6	6	"Churn"	"Yes"	0
1	0.909434185606061	7	7	"Churn"	"Yes"	0
2	0.937392438642069	7	7	"Churn"	"Yes"	0
3	0.937307658489405	7	7	"Churn"	"Yes"	0
4	0.913664114055828	7	7	"Churn"	"Yes"	0
5	0.910066120732585	7	7	"Churn"	"Yes"	0
6	0.944060180447236	7	7	"Churn"	"Yes"	0
7	0.893400698602794	7	7	"Churn"	"Yes"	0
8	0.928700023380874	7	7	"Churn"	"Yes"	0
9	0.929720767230659	7	7	"Churn"	"Yes"	0
10	0.924664933237869	7	7	"Churn"	"Yes"	0
11	0.897083874349292	7	7	"Churn"	"Yes"	0
12	0.912681749622926	7	7	"Churn"	"Yes"	0
13	0.936643723369387	7	7	"Churn"	"Yes"	0
14	0.948001279968493	7	7	"Churn"	"Yes"	0
15	0.936593898213865	7	7	"Churn"	"Yes"	0
16	0.932719590617914	7	7	"Churn"	"Yes"	0
17	0.893557154456875	7	7	"Churn"	"Yes"	0
18	0.949422818454736	7	7	"Churn"	"Yes"	0
19	0.931144204867605	7	7	"Churn"	"Yes"	0
20	0.927125697531448	7	7	"Churn"	"Yes"	0
21	0.892348743850287	7	7	"Churn"	"Yes"	0
22	0.941025279081531	7	7	"Churn"	"Yes"	0
23	0.913160609881921	7	7	"Churn"	"Yes"	0
24	0.943863361145488	7	7	"Churn"	"Yes"	0
25	0.926128992015968	7	7	"Churn"	"Yes"	0
26	0.867087300816168	7	7	"Churn"	"Yes"	0
27	0.897896241830065	7	7	"Churn"	"Yes"	0
28	0.906671516999261	7	7	"Churn"	"Yes"	0
29	0.928182831661093	7	7	"Churn"	"Yes"	0
30	0.919513978804009	7	7	"Churn"	"Yes"	0
1	0.898854352092747	8	8	"Churn"	"Yes"	0
2	0.887736125441044	8	8	"Churn"	"Yes"	0
3	0.940594806763285	8	8	"Churn"	"Yes"	0
4	0.933788670148654	8	8	"Churn"	"Yes"	0
5	0.928927396913736	8	8	"Churn"	"Yes"	0
6	0.923507254637144	8	8	"Churn"	"Yes"	0
7	0.930771351843859	8	8	"Churn"	"Yes"	0
8	0.928445158698272	8	8	"Churn"	"Yes"	0
9	0.932508099517085	8	8	"Churn"	"Yes"	0
10	0.911421911421911	8	8	"Churn"	"Yes"	0
11	0.921119929453263	8	8	"Churn"	"Yes"	0
12	0.946857032108017	8	8	"Churn"	"Yes"	0
13	0.904894648747108	8	8	"Churn"	"Yes"	0
14	0.945132114477679	8	8	"Churn"	"Yes"	0
15	0.926242897727273	8	8	"Churn"	"Yes"	0
16	0.913052282988076	8	8	"Churn"	"Yes"	0
17	0.930110160656191	8	8	"Churn"	"Yes"	0
18	0.926727578114763	8	8	"Churn"	"Yes"	0
19	0.905785632638706	8	8	"Churn"	"Yes"	0
20	0.91611088790679	8	8	"Churn"	"Yes"	0
21	0.927762134620542	8	8	"Churn"	"Yes"	0
22	0.931793684378618	8	8	"Churn"	"Yes"	0
23	0.914465342349958	8	8	"Churn"	"Yes"	0
24	0.935168797548605	8	8	"Churn"	"Yes"	0
25	0.950881969258692	8	8	"Churn"	"Yes"	0
26	0.935670194003527	8	8	"Churn"	"Yes"	0
27	0.893641880778175	8	8	"Churn"	"Yes"	0
28	0.930066287878788	8	8	"Churn"	"Yes"	0
29	0.939463698456868	8	8	"Churn"	"Yes"	0
30	0.930444789051346	8	8	"Churn"	"Yes"	0
1	0.911422068238645	9	9	"Churn"	"Yes"	0
2	0.926798704077266	9	9	"Churn"	"Yes"	0
3	0.909692127972265	9	9	"Churn"	"Yes"	0
4	0.926526675485009	9	9	"Churn"	"Yes"	0
5	0.946281305337718	9	9	"Churn"	"Yes"	0
6	0.937850744187668	9	9	"Churn"	"Yes"	0
7	0.902669321672133	9	9	"Churn"	"Yes"	0
8	0.920850678733032	9	9	"Churn"	"Yes"	0
9	0.916357777013515	9	9	"Churn"	"Yes"	0
10	0.933406687450333	9	9	"Churn"	"Yes"	0
11	0.909941015681197	9	9	"Churn"	"Yes"	0
12	0.918245874063357	9	9	"Churn"	"Yes"	0
13	0.920095429914161	9	9	"Churn"	"Yes"	0
14	0.912402490986562	9	9	"Churn"	"Yes"	0
15	0.931171470805617	9	9	"Churn"	"Yes"	0
16	0.918866589939098	9	9	"Churn"	"Yes"	0
17	0.932424740703263	9	9	"Churn"	"Yes"	0
18	0.941337386018237	9	9	"Churn"	"Yes"	0
19	0.919765996258729	9	9	"Churn"	"Yes"	0
20	0.912555432372506	9	9	"Churn"	"Yes"	0
21	0.954565567176187	9	9	"Churn"	"Yes"	0
22	0.938267823719585	9	9	"Churn"	"Yes"	0
23	0.926310648385291	9	9	"Churn"	"Yes"	0
24	0.920260943908211	9	9	"Churn"	"Yes"	0
25	0.936895188769252	9	9	"Churn"	"Yes"	0
26	0.938159019663722	9	9	"Churn"	"Yes"	0
27	0.917170503415128	9	9	"Churn"	"Yes"	0
28	0.93695609234666	9	9	"Churn"	"Yes"	0
29	0.890127425765724	9	9	"Churn"	"Yes"	0
30	0.930171945701357	9	9	"Churn"	"Yes"	0
1	0.920297968097017	10	10	"Churn"	"Yes"	0
2	0.925248871100164	10	10	"Churn"	"Yes"	0
3	0.906501614098554	10	10	"Churn"	"Yes"	0
4	0.926442325809247	10	10	"Churn"	"Yes"	0
5	0.90126396888692	10	10	"Churn"	"Yes"	0
6	0.940852408065523	10	10	"Churn"	"Yes"	0
7	0.894466885754713	10	10	"Churn"	"Yes"	0
8	0.945421173385775	10	10	"Churn"	"Yes"	0
9	0.93703539605179	10	10	"Churn"	"Yes"	0
10	0.911773127179968	10	10	"Churn"	"Yes"	0
11	0.938104980126257	10	10	"Churn"	"Yes"	0
12	0.947858964213488	10	10	"Churn"	"Yes"	0
13	0.905846071332797	10	10	"Churn"	"Yes"	0
14	0.918335580475079	10	10	"Churn"	"Yes"	0
15	0.964075316225145	10	10	"Churn"	"Yes"	0
16	0.920855141625616	10	10	"Churn"	"Yes"	0
17	0.915072171869755	10	10	"Churn"	"Yes"	0
18	0.885511004300531	10	10	"Churn"	"Yes"	0
19	0.954615620051366	10	10	"Churn"	"Yes"	0
20	0.903298024091293	10	10	"Churn"	"Yes"	0
21	0.910183996576808	10	10	"Churn"	"Yes"	0
22	0.937585851648352	10	10	"Churn"	"Yes"	0
23	0.926524885541279	10	10	"Churn"	"Yes"	0
24	0.947222357170618	10	10	"Churn"	"Yes"	0
25	0.929301884959192	10	10	"Churn"	"Yes"	0
26	0.913951230038843	10	10	"Churn"	"Yes"	0
27	0.927095468759581	10	10	"Churn"	"Yes"	0
28	0.947429626432648	10	10	"Churn"	"Yes"	0
29	0.919878992015968	10	10	"Churn"	"Yes"	0
30	0.932632344789357	10	10	"Churn"	"Yes"	0
1	0.935234427532245	11	11	"Churn"	"Yes"	0
2	0.952446890135712	11	11	"Churn"	"Yes"	0
3	0.931274991805965	11	11	"Churn"	"Yes"	0
4	0.883944391440643	11	11	"Churn"	"Yes"	0
5	0.922065548780488	11	11	"Churn"	"Yes"	0
6	0.920000764263059	11	11	"Churn"	"Yes"	0
7	0.92932827975433	11	11	"Churn"	"Yes"	0
8	0.900591026800649	11	11	"Churn"	"Yes"	0
9	0.921300398759415	11	11	"Churn"	"Yes"	0
10	0.905930618401207	11	11	"Churn"	"Yes"	0
11	0.917219878965707	11	11	"Churn"	"Yes"	0
12	0.878235665499627	11	11	"Churn"	"Yes"	0
13	0.941731331533963	11	11	"Churn"	"Yes"	0
14	0.972312167973691	11	11	"Churn"	"Yes"	0
15	0.915054812604029	11	11	"Churn"	"Yes"	0
16	0.932411654499645	11	11	"Churn"	"Yes"	0
17	0.921689924711073	11	11	"Churn"	"Yes"	0
18	0.906189806861367	11	11	"Churn"	"Yes"	0
19	0.946847415631291	11	11	"Churn"	"Yes"	0
20	0.916350052865791	11	11	"Churn"	"Yes"	0
21	0.912671923711718	11	11	"Churn"	"Yes"	0
22	0.877412205281058	11	11	"Churn"	"Yes"	0
23	0.906188558001247	11	11	"Churn"	"Yes"	0
24	0.938493563135787	11	11	"Churn"	"Yes"	0
25	0.919942147354092	11	11	"Churn"	"Yes"	0
26	0.952280463755009	11	11	"Churn"	"Yes"	0
27	0.842174986812449	11	11	"Churn"	"Yes"	0
28	0.930386504377536	11	11	"Churn"	"Yes"	0
29	0.910032104582409	11	11	"Churn"	"Yes"	0
30	0.917868833294365	11	11	"Churn"	"Yes"	0
1	0.907681148995348	12	12	"Churn"	"Yes"	0
2	0.926817719881744	12	12	"Churn"	"Yes"	0
3	0.971974987448081	12	12	"Churn"	"Yes"	0
4	0.880047978243021	12	12	"Churn"	"Yes"	0
5	0.873134065003353	12	12	"Churn"	"Yes"	0
6	0.935346880918354	12	12	"Churn"	"Yes"	0
7	0.902976025498891	12	12	"Churn"	"Yes"	0
8	0.908451484271156	12	12	"Churn"	"Yes"	0
9	0.920192680947172	12	12	"Churn"	"Yes"	0
10	0.913108741254349	12	12	"Churn"	"Yes"	0
11	0.910646002835122	12	12	"Churn"	"Yes"	0
12	0.936902283233934	12	12	"Churn"	"Yes"	0
13	0.910450534695248	12	12	"Churn"	"Yes"	0
14	0.934088679990319	12	12	"Churn"	"Yes"	0
15	0.920838603592208	12	12	"Churn"	"Yes"	0
16	0.928191489361702	12	12	"Churn"	"Yes"	0
17	0.932725785867397	12	12	"Churn"	"Yes"	0
18	0.936377529188826	12	12	"Churn"	"Yes"	0
19	0.865178372352285	12	12	"Churn"	"Yes"	0
20	0.875670376928915	12	12	"Churn"	"Yes"	0
21	0.900379939209726	12	12	"Churn"	"Yes"	0
22	0.930018939393939	12	12	"Churn"	"Yes"	0
23	0.910385479041916	12	12	"Churn"	"Yes"	0
24	0.890051437923778	12	12	"Churn"	"Yes"	0
25	0.892847973592518	12	12	"Churn"	"Yes"	0
26	0.90952441183911	12	12	"Churn"	"Yes"	0
27	0.904192442334436	12	12	"Churn"	"Yes"	0
28	0.926660636623837	12	12	"Churn"	"Yes"	0
29	0.906842069649946	12	12	"Churn"	"Yes"	0
30	0.883079650345376	12	12	"Churn"	"Yes"	0
1	0.860613154960981	13	13	"Churn"	"Yes"	0
2	0.937377908882334	13	13	"Churn"	"Yes"	0
3	0.904014928605093	13	13	"Churn"	"Yes"	0
4	0.945472111455718	13	13	"Churn"	"Yes"	0
5	0.8827975203209	13	13	"Churn"	"Yes"	0
6	0.910245078344717	13	13	"Churn"	"Yes"	0
7	0.908814479638009	13	13	"Churn"	"Yes"	0
8	0.917757724446172	13	13	"Churn"	"Yes"	0
9	0.944675759420129	13	13	"Churn"	"Yes"	0
10	0.871257716049383	13	13	"Churn"	"Yes"	0
11	0.889616935483871	13	13	"Churn"	"Yes"	0
12	0.889592313218391	13	13	"Churn"	"Yes"	0
13	0.899134311002003	13	13	"Churn"	"Yes"	0
14	0.889524258019667	13	13	"Churn"	"Yes"	0
15	0.856319773997299	13	13	"Churn"	"Yes"	0
16	0.929714957323474	13	13	"Churn"	"Yes"	0
17	0.890589374195932	13	13	"Churn"	"Yes"	0
18	0.909041793021716	13	13	"Churn"	"Yes"	0
19	0.922613053277706	13	13	"Churn"	"Yes"	0
20	0.894450787019044	13	13	"Churn"	"Yes"	0
21	0.918623541574361	13	13	"Churn"	"Yes"	0
22	0.903389220026259	13	13	"Churn"	"Yes"	0
23	0.931870627671978	13	13	"Churn"	"Yes"	0
24	0.893165650406504	13	13	"Churn"	"Yes"	0
25	0.92739340305712	13	13	"Churn"	"Yes"	0
26	0.930443438914027	13	13	"Churn"	"Yes"	0
27	0.896818862275449	13	13	"Churn"	"Yes"	0
28	0.869849357554276	13	13	"Churn"	"Yes"	0
29	0.814186789772727	13	13	"Churn"	"Yes"	0
30	0.928364330231578	13	13	"Churn"	"Yes"	0
1	0.918458974727857	14	14	"Churn"	"Yes"	0
2	0.893156727421413	14	14	"Churn"	"Yes"	0
3	0.888216039279869	14	14	"Churn"	"Yes"	0
4	0.892785210761042	14	14	"Churn"	"Yes"	0
5	0.907933634992458	14	14	"Churn"	"Yes"	0
6	0.875242712663943	14	14	"Churn"	"Yes"	0
7	0.891998106060606	14	14	"Churn"	"Yes"	0
8	0.91141522203134	14	14	"Churn"	"Yes"	0
9	0.890393217399242	14	14	"Churn"	"Yes"	0
