"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_x"
13	0.977605590681249	7	7	"CO2"	0.5
14	0.976471935540111	7	7	"CO2"	0.5
15	0.980256742720265	7	7	"CO2"	0.5
16	0.982396982973767	7	7	"CO2"	0.5
17	0.982605189695821	7	7	"CO2"	0.5
18	0.977657970404657	7	7	"CO2"	0.5
19	0.981809487720818	7	7	"CO2"	0.5
20	0.98264486918366	7	7	"CO2"	0.5
21	0.980279638282374	7	7	"CO2"	0.5
22	0.973719356975974	7	7	"CO2"	0.5
23	0.982977376751758	7	7	"CO2"	0.5
24	0.972859553393378	7	7	"CO2"	0.5
25	0.979570536715565	7	7	"CO2"	0.5
26	0.981118774904848	7	7	"CO2"	0.5
27	0.975032506005957	6	7	"CO2"	0.5
28	0.982886044885788	7	7	"CO2"	0.5
29	0.974598442223412	7	7	"CO2"	0.5
30	0.978399589389321	7	7	"CO2"	0.5
1	0.971380118764147	8	8	"CO2"	0.5
2	0.984417888294736	8	8	"CO2"	0.5
3	0.979889888704712	8	8	"CO2"	0.5
4	0.980862184601864	8	8	"CO2"	0.5
5	0.983329410359462	8	8	"CO2"	0.5
6	0.978056952008971	6	8	"CO2"	0.5
7	0.983569153335797	7	8	"CO2"	0.5
8	0.971787084398977	8	8	"CO2"	0.5
9	0.975966762543944	6	8	"CO2"	0.5
10	0.976111116739441	8	8	"CO2"	0.5
11	0.970202713422846	7	8	"CO2"	0.5
12	0.989760086480455	8	8	"CO2"	0.5
13	0.975040878299463	8	8	"CO2"	0.5
14	0.972096672252109	8	8	"CO2"	0.5
15	0.969198437130002	8	8	"CO2"	0.5
16	0.970322934687576	8	8	"CO2"	0.5
17	0.979459141553307	7	8	"CO2"	0.5
18	0.967683780002153	8	8	"CO2"	0.5
19	0.978102499240406	8	8	"CO2"	0.5
20	0.979058174289691	8	8	"CO2"	0.5
21	0.979951130881524	8	8	"CO2"	0.5
22	0.980195715447503	8	8	"CO2"	0.5
23	0.98130020729642	8	8	"CO2"	0.5
24	0.981022255358539	8	8	"CO2"	0.5
25	0.986843127972132	7	8	"CO2"	0.5
26	0.975685720922753	7	8	"CO2"	0.5
27	0.986955643816736	8	8	"CO2"	0.5
28	0.97346497017053	8	8	"CO2"	0.5
29	0.974902115824117	8	8	"CO2"	0.5
30	0.983728746056645	7	8	"CO2"	0.5
1	0.97387877831545	8	9	"CO2"	0.5
2	0.980581529396695	8	9	"CO2"	0.5
3	0.979031115872114	8	9	"CO2"	0.5
4	0.977807666442502	9	9	"CO2"	0.5
5	0.972996530895294	9	9	"CO2"	0.5
6	0.980688946122212	8	9	"CO2"	0.5
7	0.990006882824562	9	9	"CO2"	0.5
8	0.973701780920846	9	9	"CO2"	0.5
9	0.979251126126126	9	9	"CO2"	0.5
10	0.965853002348899	7	9	"CO2"	0.5
11	0.993300724637681	8	9	"CO2"	0.5
12	0.982348152304256	9	9	"CO2"	0.5
13	0.974300276434001	9	9	"CO2"	0.5
14	0.973922636929918	8	9	"CO2"	0.5
15	0.976709446665264	7	9	"CO2"	0.5
16	0.979258152173913	9	9	"CO2"	0.5
17	0.98184828307981	7	9	"CO2"	0.5
18	0.983168227503203	7	9	"CO2"	0.5
19	0.986920931673811	8	9	"CO2"	0.5
20	0.985019523947992	9	9	"CO2"	0.5
21	0.96814269474368	9	9	"CO2"	0.5
22	0.983150173136504	9	9	"CO2"	0.5
23	0.972788875306487	9	9	"CO2"	0.5
24	0.975648706725579	8	9	"CO2"	0.5
25	0.982553803537183	9	9	"CO2"	0.5
26	0.986019964229589	8	9	"CO2"	0.5
27	0.981096822969229	9	9	"CO2"	0.5
28	0.978597265138668	7	9	"CO2"	0.5
29	0.984012096635859	9	9	"CO2"	0.5
30	0.985710779157024	8	9	"CO2"	0.5
1	0.980429728017598	8	10	"CO2"	0.5
2	0.976758116688631	9	10	"CO2"	0.5
3	0.958670711720194	10	10	"CO2"	0.5
4	0.988475629181268	8	10	"CO2"	0.5
5	0.977062812068932	10	10	"CO2"	0.5
6	0.967124511921354	7	10	"CO2"	0.5
7	0.9847089255468	10	10	"CO2"	0.5
8	0.977943222188931	9	10	"CO2"	0.5
9	0.968372116915806	9	10	"CO2"	0.5
10	0.979517150972253	9	10	"CO2"	0.5
11	0.987579009792152	10	10	"CO2"	0.5
12	0.98015232020236	10	10	"CO2"	0.5
13	0.980094092923138	9	10	"CO2"	0.5
14	0.990139501588611	9	10	"CO2"	0.5
15	0.977884592042337	10	10	"CO2"	0.5
16	0.980735778461452	9	10	"CO2"	0.5
17	0.979332827926169	9	10	"CO2"	0.5
18	0.978530506375831	10	10	"CO2"	0.5
19	0.982001522070015	9	10	"CO2"	0.5
20	0.975565809091102	10	10	"CO2"	0.5
21	0.989053016117521	9	10	"CO2"	0.5
22	0.98464479133482	9	10	"CO2"	0.5
23	0.97284108946194	7	10	"CO2"	0.5
24	0.984119298320707	9	10	"CO2"	0.5
25	0.985359948220591	8	10	"CO2"	0.5
26	0.983513770391987	10	10	"CO2"	0.5
27	0.976769140071751	10	10	"CO2"	0.5
28	0.97440889730577	9	10	"CO2"	0.5
29	0.961982816638262	9	10	"CO2"	0.5
30	0.985990515046902	7	10	"CO2"	0.5
1	0.978550251265192	11	11	"CO2"	0.5
2	0.97811592840883	9	11	"CO2"	0.5
3	0.979956461718169	11	11	"CO2"	0.5
4	0.978464927436075	9	11	"CO2"	0.5
5	0.979377107402961	9	11	"CO2"	0.5
6	0.977527103658861	8	11	"CO2"	0.5
7	0.977925665494726	10	11	"CO2"	0.5
8	0.982518677462246	9	11	"CO2"	0.5
9	0.976713140149444	7	11	"CO2"	0.5
10	0.981811193274585	8	11	"CO2"	0.5
11	0.970627029220779	9	11	"CO2"	0.5
12	0.97001616714339	8	11	"CO2"	0.5
13	0.98030188015006	11	11	"CO2"	0.5
14	0.972696795311758	9	11	"CO2"	0.5
15	0.968487424207617	9	11	"CO2"	0.5
16	0.981362301313061	10	11	"CO2"	0.5
17	0.978396001554018	11	11	"CO2"	0.5
18	0.972352833971205	11	11	"CO2"	0.5
19	0.968421714569192	10	11	"CO2"	0.5
20	0.977546850079745	10	11	"CO2"	0.5
21	0.987501453864654	9	11	"CO2"	0.5
22	0.984497146245376	11	11	"CO2"	0.5
23	0.984499085046281	10	11	"CO2"	0.5
24	0.983137937680274	9	11	"CO2"	0.5
25	0.973196283141391	8	11	"CO2"	0.5
26	0.979838604444809	11	11	"CO2"	0.5
27	0.977268113583306	10	11	"CO2"	0.5
28	0.988518221065544	8	11	"CO2"	0.5
29	0.979037788476913	9	11	"CO2"	0.5
30	0.975952440342563	10	11	"CO2"	0.5
1	0.986184718471498	8	12	"CO2"	0.5
2	0.986398991034541	9	12	"CO2"	0.5
3	0.969453365347274	9	12	"CO2"	0.5
4	0.967075419878429	8	12	"CO2"	0.5
5	0.97662555372188	8	12	"CO2"	0.5
6	0.978621213475114	9	12	"CO2"	0.5
7	0.984823126322965	12	12	"CO2"	0.5
8	0.973801796388358	12	12	"CO2"	0.5
9	0.984068213353655	9	12	"CO2"	0.5
10	0.977162907377356	9	12	"CO2"	0.5
11	0.970597118339936	9	12	"CO2"	0.5
12	0.973477807695648	10	12	"CO2"	0.5
13	0.982363510711818	11	12	"CO2"	0.5
14	0.976676421166553	11	12	"CO2"	0.5
15	0.973358019188102	8	12	"CO2"	0.5
16	0.982791142700929	12	12	"CO2"	0.5
17	0.977959852729529	10	12	"CO2"	0.5
18	0.976820274087248	9	12	"CO2"	0.5
19	0.979276693036472	11	12	"CO2"	0.5
20	0.975395526459356	9	12	"CO2"	0.5
21	0.979884997459084	10	12	"CO2"	0.5
