"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
6	0.979788405848597	5	5	"CO2"	0
7	0.982205260578106	5	5	"CO2"	0
8	0.965223118425089	5	5	"CO2"	0
9	0.988272375985215	5	5	"CO2"	0
10	0.982254722353732	5	5	"CO2"	0
11	0.980891480628692	5	5	"CO2"	0
12	0.97533648227334	5	5	"CO2"	0
13	0.989778393834781	5	5	"CO2"	0
14	0.986540736984449	5	5	"CO2"	0
15	0.98701310441587	5	5	"CO2"	0
16	0.980513172482973	5	5	"CO2"	0
17	0.982162505216902	5	5	"CO2"	0
18	0.988261317517003	5	5	"CO2"	0
19	0.980005680937871	5	5	"CO2"	0
20	0.9859873354142	5	5	"CO2"	0
21	0.977030208137466	5	5	"CO2"	0
22	0.982808366359344	5	5	"CO2"	0
23	0.98599695585997	5	5	"CO2"	0
24	0.987857120683768	5	5	"CO2"	0
25	0.984154573636445	5	5	"CO2"	0
26	0.989867526347699	5	5	"CO2"	0
27	0.989423926651447	5	5	"CO2"	0
28	0.984911231884058	5	5	"CO2"	0
29	0.982357812881403	5	5	"CO2"	0
30	0.975194128376618	5	5	"CO2"	0
1	0.985899132922859	6	6	"CO2"	0
2	0.972080429161631	6	6	"CO2"	0
3	0.978747735384904	6	6	"CO2"	0
4	0.981982317455927	6	6	"CO2"	0
5	0.981811201781731	6	6	"CO2"	0
6	0.975228738429833	6	6	"CO2"	0
7	0.976369562711142	6	6	"CO2"	0
8	0.971773893245098	6	6	"CO2"	0
9	0.985069916657949	6	6	"CO2"	0
10	0.984820325433743	6	6	"CO2"	0
11	0.988009513503309	6	6	"CO2"	0
12	0.975916551485833	6	6	"CO2"	0
13	0.96316631239014	6	6	"CO2"	0
14	0.983121658953109	6	6	"CO2"	0
15	0.990035735642185	6	6	"CO2"	0
16	0.978209716630079	6	6	"CO2"	0
17	0.975025302458931	6	6	"CO2"	0
18	0.980301778305703	6	6	"CO2"	0
19	0.974451992753623	6	6	"CO2"	0
20	0.98456886272572	6	6	"CO2"	0
21	0.977767546552077	6	6	"CO2"	0
