"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.97768387117854	4	4	"CO2"	"Yes"	0.1
3	0.975073259491997	4	4	"CO2"	"Yes"	0.1
4	0.972549239806496	4	4	"CO2"	"Yes"	0.1
5	0.969099637681159	4	4	"CO2"	"Yes"	0.1
6	0.96901269301901	4	4	"CO2"	"Yes"	0.1
7	0.960509382750714	4	4	"CO2"	"Yes"	0.1
8	0.980007475818197	4	4	"CO2"	"Yes"	0.1
9	0.973724731317041	4	4	"CO2"	"Yes"	0.1
10	0.983511719207158	4	4	"CO2"	"Yes"	0.1
11	0.973359988288898	4	4	"CO2"	"Yes"	0.1
12	0.969752475435263	4	4	"CO2"	"Yes"	0.1
13	0.962815269256987	4	4	"CO2"	"Yes"	0.1
14	0.977828320179926	4	4	"CO2"	"Yes"	0.1
15	0.97196184755147	4	4	"CO2"	"Yes"	0.1
16	0.967781029058557	4	4	"CO2"	"Yes"	0.1
17	0.974370646054013	4	4	"CO2"	"Yes"	0.1
18	0.969389202386862	4	4	"CO2"	"Yes"	0.1
19	0.975218043959415	4	4	"CO2"	"Yes"	0.1
20	0.976601233388344	4	4	"CO2"	"Yes"	0.1
21	0.974953220021831	4	4	"CO2"	"Yes"	0.1
22	0.983676497232696	4	4	"CO2"	"Yes"	0.1
23	0.971128258746565	4	4	"CO2"	"Yes"	0.1
24	0.975905508997016	4	4	"CO2"	"Yes"	0.1
25	0.985074380710492	4	4	"CO2"	"Yes"	0.1
26	0.969929226570186	4	4	"CO2"	"Yes"	0.1
27	0.96765720059637	4	4	"CO2"	"Yes"	0.1
28	0.978860138219744	4	4	"CO2"	"Yes"	0.1
29	0.974476262653603	4	4	"CO2"	"Yes"	0.1
30	0.974885316134362	4	4	"CO2"	"Yes"	0.1
1	0.970146855563234	5	5	"CO2"	"Yes"	0.1
2	0.981352529049897	5	5	"CO2"	"Yes"	0.1
3	0.982244157022918	5	5	"CO2"	"Yes"	0.1
4	0.978293368802472	5	5	"CO2"	"Yes"	0.1
