"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"noise_level"
25	0.980633452230813	4	4	"CO2"	1	10
26	0.978231564318596	4	4	"CO2"	1	10
27	0.981567909100563	4	4	"CO2"	1	10
28	0.980797417852434	4	4	"CO2"	1	10
29	0.981761697967778	4	4	"CO2"	1	10
30	0.987571921749137	4	4	"CO2"	1	10
1	0.982710876936644	5	5	"CO2"	1	10
2	0.990708122194364	5	5	"CO2"	1	10
3	0.983021134875355	5	5	"CO2"	1	10
4	0.976480990274094	5	5	"CO2"	1	10
5	0.978349732062603	5	5	"CO2"	1	10
6	0.984080604534005	5	5	"CO2"	1	10
7	0.983542181889674	5	5	"CO2"	1	10
8	0.980844554316572	5	5	"CO2"	1	10
9	0.982248552491648	5	5	"CO2"	1	10
10	0.972362546686355	5	5	"CO2"	1	10
11	0.982167239592982	5	5	"CO2"	1	10
12	0.990170908036223	5	5	"CO2"	1	10
13	0.977741385591444	5	5	"CO2"	1	10
14	0.970200868560971	5	5	"CO2"	1	10
15	0.98843078086433	5	5	"CO2"	1	10
16	0.981658383236847	5	5	"CO2"	1	10
17	0.966448850211953	5	5	"CO2"	1	10
18	0.975580018236381	5	5	"CO2"	1	10
19	0.989139574700882	5	5	"CO2"	1	10
20	0.982327094409244	5	5	"CO2"	1	10
21	0.988073473463134	5	5	"CO2"	1	10
22	0.98663274328299	5	5	"CO2"	1	10
23	0.984979588291497	5	5	"CO2"	1	10
24	0.983067253043652	5	5	"CO2"	1	10
25	0.97761506347044	5	5	"CO2"	1	10
26	0.981370329232171	5	5	"CO2"	1	10
27	0.972948541716471	5	5	"CO2"	1	10
28	0.977685745637323	5	5	"CO2"	1	10
29	0.982658576559612	5	5	"CO2"	1	10
30	0.990829835324508	5	5	"CO2"	1	10
1	0.985951854968792	6	6	"CO2"	1	10
2	0.981131090366101	6	6	"CO2"	1	10
3	0.975355765178774	6	6	"CO2"	1	10
4	0.980566122735009	6	6	"CO2"	1	10
5	0.984159063086308	6	6	"CO2"	1	10
6	0.981785574607357	6	6	"CO2"	1	10
7	0.988706594456833	6	6	"CO2"	1	10
8	0.986642096384108	6	6	"CO2"	1	10
9	0.978624726846341	6	6	"CO2"	1	10
10	0.974473619814663	6	6	"CO2"	1	10
11	0.978707552481029	6	6	"CO2"	1	10
12	0.983717390534848	6	6	"CO2"	1	10
13	0.982438879896749	6	6	"CO2"	1	10
14	0.982650773149643	6	6	"CO2"	1	10
15	0.98641961047486	6	6	"CO2"	1	10
16	0.984833631016257	6	6	"CO2"	1	10
17	0.980170667943148	6	6	"CO2"	1	10
18	0.984400501255013	6	6	"CO2"	1	10
19	0.984330293736234	6	6	"CO2"	1	10
20	0.983994528043776	6	6	"CO2"	1	10
21	0.985033314785487	6	6	"CO2"	1	10
22	0.989187732119324	6	6	"CO2"	1	10
23	0.986702638685583	6	6	"CO2"	1	10
24	0.986491015894955	6	6	"CO2"	1	10
25	0.982551181972163	6	6	"CO2"	1	10
26	0.981129462094116	6	6	"CO2"	1	10
27	0.977016584654638	6	6	"CO2"	1	10
28	0.979536808049034	6	6	"CO2"	1	10
29	0.982739922242685	6	6	"CO2"	1	10
30	0.981865519425823	6	6	"CO2"	1	10
1	0.967618602586	7	7	"CO2"	1	10
2	0.982479798491481	7	7	"CO2"	1	10
3	0.983375569751685	7	7	"CO2"	1	10
4	0.982937545768386	7	7	"CO2"	1	10
5	0.97577602350173	7	7	"CO2"	1	10
6	0.976127555238371	7	7	"CO2"	1	10
7	0.985409135888952	7	7	"CO2"	1	10
8	0.979444106662034	6	7	"CO2"	1	10
9	0.98347609079517	6	7	"CO2"	1	10
10	0.981414144566865	7	7	"CO2"	1	10
11	0.985140181905902	7	7	"CO2"	1	10
12	0.97715975020424	7	7	"CO2"	1	10
13	0.986286286648249	7	7	"CO2"	1	10
14	0.98653593642018	7	7	"CO2"	1	10
15	0.979854092477855	7	7	"CO2"	1	10
16	0.986365895868621	7	7	"CO2"	1	10
17	0.983535274574946	7	7	"CO2"	1	10
18	0.975343539485362	7	7	"CO2"	1	10
19	0.973085315111126	7	7	"CO2"	1	10
20	0.988998619517893	7	7	"CO2"	1	10
21	0.97926755177528	7	7	"CO2"	1	10
22	0.981049979450708	6	7	"CO2"	1	10
23	0.984736523842433	7	7	"CO2"	1	10
24	0.989530905192518	7	7	"CO2"	1	10
25	0.984715786615069	7	7	"CO2"	1	10
26	0.976517849387649	7	7	"CO2"	1	10
27	0.98285967287469	7	7	"CO2"	1	10
28	0.98475406307179	7	7	"CO2"	1	10
29	0.980324086050434	7	7	"CO2"	1	10
30	0.982433567072314	7	7	"CO2"	1	10
1	0.97285597826087	8	8	"CO2"	1	10
2	0.978145517167151	8	8	"CO2"	1	10
3	0.979452341899034	8	8	"CO2"	1	10
4	0.982626935721323	8	8	"CO2"	1	10
5	0.98107855037902	8	8	"CO2"	1	10
6	0.979711264153804	7	8	"CO2"	1	10
7	0.976616464821319	7	8	"CO2"	1	10
8	0.97987381898273	7	8	"CO2"	1	10
9	0.977134652268543	8	8	"CO2"	1	10
10	0.98463306305841	8	8	"CO2"	1	10
11	0.980855436513425	8	8	"CO2"	1	10
12	0.980896546223179	8	8	"CO2"	1	10
13	0.982224386137625	8	8	"CO2"	1	10
14	0.983507371007371	8	8	"CO2"	1	10
15	0.980256234508924	8	8	"CO2"	1	10
16	0.985927536231884	8	8	"CO2"	1	10
17	0.974169512683839	8	8	"CO2"	1	10
18	0.980989371876071	8	8	"CO2"	1	10
19	0.977548052139333	8	8	"CO2"	1	10
20	0.985035709382879	8	8	"CO2"	1	10
21	0.97964091000875	8	8	"CO2"	1	10
22	0.969694359167137	8	8	"CO2"	1	10
23	0.983856986066931	8	8	"CO2"	1	10
24	0.974322627889947	8	8	"CO2"	1	10
25	0.981157611597199	8	8	"CO2"	1	10
26	0.990232828256164	8	8	"CO2"	1	10
27	0.983311525382298	8	8	"CO2"	1	10
28	0.980734322677451	8	8	"CO2"	1	10
29	0.981972162898593	8	8	"CO2"	1	10
30	0.976580936866946	8	8	"CO2"	1	10
1	0.985615650172612	9	9	"CO2"	1	10
2	0.977725219110471	8	9	"CO2"	1	10
3	0.977498973191599	9	9	"CO2"	1	10
4	0.979079882381769	8	9	"CO2"	1	10
5	0.981795060805405	8	9	"CO2"	1	10
6	0.97594560601457	9	9	"CO2"	1	10
7	0.975802931911374	9	9	"CO2"	1	10
8	0.978769351978124	9	9	"CO2"	1	10
9	0.980064580651339	8	9	"CO2"	1	10
10	0.981860512372233	9	9	"CO2"	1	10
11	0.987008968043451	9	9	"CO2"	1	10
12	0.984925724637681	9	9	"CO2"	1	10
13	0.972461338004101	8	9	"CO2"	1	10
14	0.983157542273564	9	9	"CO2"	1	10
15	0.97724812311121	8	9	"CO2"	1	10
16	0.984960339537533	9	9	"CO2"	1	10
17	0.979701603483063	8	9	"CO2"	1	10
18	0.984617017869947	8	9	"CO2"	1	10
19	0.974011430735595	9	9	"CO2"	1	10
20	0.983972107865913	8	9	"CO2"	1	10
21	0.978955615942029	8	9	"CO2"	1	10
22	0.974254467645335	7	9	"CO2"	1	10
23	0.981575921337435	9	9	"CO2"	1	10
24	0.984059440867801	8	9	"CO2"	1	10
25	0.977958302360978	9	9	"CO2"	1	10
26	0.988216346324024	8	9	"CO2"	1	10
27	0.981390149036975	9	9	"CO2"	1	10
28	0.975734064528822	9	9	"CO2"	1	10
29	0.978186543777607	8	9	"CO2"	1	10
30	0.979820417882606	9	9	"CO2"	1	10
1	0.978140117484451	10	10	"CO2"	1	10
2	0.980888028890429	9	10	"CO2"	1	10
3	0.972463567541141	9	10	"CO2"	1	10
4	0.976805403354222	10	10	"CO2"	1	10
5	0.978859951028236	10	10	"CO2"	1	10
6	0.975841892921101	10	10	"CO2"	1	10
7	0.967464605228872	8	10	"CO2"	1	10
8	0.981095504610196	10	10	"CO2"	1	10
9	0.972626214569343	10	10	"CO2"	1	10
10	0.983903295169743	10	10	"CO2"	1	10
11	0.984055930930931	9	10	"CO2"	1	10
12	0.977162687658466	9	10	"CO2"	1	10
13	0.982103489979267	9	10	"CO2"	1	10
14	0.981747175406721	9	10	"CO2"	1	10
15	0.979912620838769	9	10	"CO2"	1	10
16	0.973714282768433	9	10	"CO2"	1	10
17	0.978319714173295	10	10	"CO2"	1	10
18	0.976415617547557	10	10	"CO2"	1	10
19	0.984501549116093	9	10	"CO2"	1	10
20	0.980053910365629	10	10	"CO2"	1	10
21	0.976994048049525	10	10	"CO2"	1	10
22	0.97264341042279	9	10	"CO2"	1	10
23	0.975172140805656	7	10	"CO2"	1	10
24	0.978574243892561	9	10	"CO2"	1	10
25	0.980630528001741	10	10	"CO2"	1	10
