"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"q_noisy_var"	"prop_noise_x"
25	0.981000608008338	4	4	"CO2"	1	0
26	0.983569939767934	4	4	"CO2"	1	0
27	0.984099667129187	4	4	"CO2"	1	0
28	0.969340251791364	4	4	"CO2"	1	0
29	0.985098054632042	4	4	"CO2"	1	0
30	0.977634787466028	4	4	"CO2"	1	0
1	0.982075168969736	5	5	"CO2"	1	0
2	0.995128509834392	5	5	"CO2"	1	0
3	0.987524106527225	5	5	"CO2"	1	0
4	0.972407986484183	5	5	"CO2"	1	0
5	0.974227696312605	5	5	"CO2"	1	0
6	0.977385563531822	5	5	"CO2"	1	0
7	0.978119783418225	5	5	"CO2"	1	0
8	0.965364577229702	5	5	"CO2"	1	0
9	0.982981619000341	5	5	"CO2"	1	0
10	0.977751086707847	5	5	"CO2"	1	0
11	0.986917446991712	5	5	"CO2"	1	0
12	0.987178820257256	5	5	"CO2"	1	0
13	0.987986863232657	5	5	"CO2"	1	0
14	0.981378336321505	5	5	"CO2"	1	0
15	0.988657508248317	5	5	"CO2"	1	0
16	0.978709716636105	5	5	"CO2"	1	0
17	0.986459902540543	5	5	"CO2"	1	0
18	0.98108555198352	5	5	"CO2"	1	0
19	0.983294850563299	5	5	"CO2"	1	0
20	0.979990269888104	5	5	"CO2"	1	0
21	0.986479861490796	5	5	"CO2"	1	0
22	0.983509747532203	5	5	"CO2"	1	0
23	0.979196665403562	5	5	"CO2"	1	0
24	0.98776773308793	5	5	"CO2"	1	0
25	0.981790422089745	5	5	"CO2"	1	0
26	0.981875089386888	5	5	"CO2"	1	0
27	0.986084417373854	5	5	"CO2"	1	0
28	0.987028576391905	5	5	"CO2"	1	0
29	0.984269806063417	5	5	"CO2"	1	0
30	0.980307642196064	5	5	"CO2"	1	0
1	0.977920758370482	6	6	"CO2"	1	0
2	0.976246954737787	6	6	"CO2"	1	0
3	0.97922288606319	6	6	"CO2"	1	0
4	0.981558651243967	6	6	"CO2"	1	0
5	0.977461636828645	6	6	"CO2"	1	0
6	0.989393735578067	6	6	"CO2"	1	0
7	0.980636777248375	6	6	"CO2"	1	0
8	0.983916303394127	6	6	"CO2"	1	0
9	0.971044808478114	6	6	"CO2"	1	0
10	0.983284937437305	6	6	"CO2"	1	0
11	0.980654130689539	6	6	"CO2"	1	0
12	0.990562578156228	6	6	"CO2"	1	0
13	0.972635978086787	6	6	"CO2"	1	0
14	0.983144612952895	6	6	"CO2"	1	0
15	0.980607147431792	6	6	"CO2"	1	0
16	0.985135645238056	6	6	"CO2"	1	0
17	0.977285880669768	6	6	"CO2"	1	0
18	0.978907554978668	6	6	"CO2"	1	0
19	0.976092170483415	6	6	"CO2"	1	0
20	0.970030875396441	6	6	"CO2"	1	0
21	0.975792629127674	6	6	"CO2"	1	0
22	0.985304341446543	6	6	"CO2"	1	0
23	0.982940998809672	6	6	"CO2"	1	0
24	0.97722360142105	6	6	"CO2"	1	0
25	0.97137460681424	6	6	"CO2"	1	0
26	0.982465015193013	6	6	"CO2"	1	0
27	0.974540321283705	6	6	"CO2"	1	0
28	0.977152729785764	6	6	"CO2"	1	0
29	0.970886909941169	6	6	"CO2"	1	0
30	0.96744326482202	6	6	"CO2"	1	0
1	0.981747897750497	7	7	"CO2"	1	0
2	0.983880356266218	7	7	"CO2"	1	0
3	0.979157900273511	6	7	"CO2"	1	0
4	0.985445181417048	7	7	"CO2"	1	0
5	0.975072967979204	7	7	"CO2"	1	0
6	0.977050426692932	7	7	"CO2"	1	0
7	0.985008751511215	7	7	"CO2"	1	0
8	0.980992861018608	7	7	"CO2"	1	0
9	0.980260983886155	7	7	"CO2"	1	0
10	0.9669576537254	7	7	"CO2"	1	0
11	0.968448464023685	6	7	"CO2"	1	0
12	0.971406376256715	6	7	"CO2"	1	0
13	0.983118594595772	7	7	"CO2"	1	0
14	0.979007412555015	7	7	"CO2"	1	0
15	0.975754200220742	6	7	"CO2"	1	0
16	0.970563383919446	6	7	"CO2"	1	0
17	0.984168210179944	7	7	"CO2"	1	0
18	0.985951971604459	7	7	"CO2"	1	0
19	0.984404262189215	6	7	"CO2"	1	0
20	0.978953936918539	7	7	"CO2"	1	0
21	0.976851087861352	7	7	"CO2"	1	0
22	0.982747878509422	6	7	"CO2"	1	0
23	0.972804496818219	7	7	"CO2"	1	0
24	0.979829396186627	7	7	"CO2"	1	0
25	0.973156515235723	7	7	"CO2"	1	0
26	0.979072154539947	7	7	"CO2"	1	0
27	0.987944226680359	7	7	"CO2"	1	0
28	0.981196788719995	7	7	"CO2"	1	0
29	0.979729612992398	7	7	"CO2"	1	0
30	0.978594357731877	7	7	"CO2"	1	0
1	0.982100638142065	8	8	"CO2"	1	0
2	0.976846920289855	8	8	"CO2"	1	0
3	0.987165437825607	8	8	"CO2"	1	0
4	0.983913748720547	8	8	"CO2"	1	0
5	0.980177101521576	7	8	"CO2"	1	0
6	0.978648664943097	8	8	"CO2"	1	0
7	0.97511973130785	8	8	"CO2"	1	0
8	0.979095723539332	8	8	"CO2"	1	0
9	0.987085364044936	8	8	"CO2"	1	0
10	0.987661714963211	6	8	"CO2"	1	0
11	0.972335999946061	6	8	"CO2"	1	0
12	0.980504411200614	8	8	"CO2"	1	0
13	0.974160211088935	7	8	"CO2"	1	0
14	0.954625860230687	8	8	"CO2"	1	0
15	0.974207986328848	6	8	"CO2"	1	0
16	0.979782405912532	8	8	"CO2"	1	0
17	0.981034990778498	8	8	"CO2"	1	0
18	0.971378196912736	7	8	"CO2"	1	0
19	0.983047054316028	7	8	"CO2"	1	0
20	0.987210397243406	7	8	"CO2"	1	0
21	0.966807335643433	8	8	"CO2"	1	0
22	0.982306360488427	8	8	"CO2"	1	0
23	0.979636315826734	8	8	"CO2"	1	0
24	0.980666592115162	8	8	"CO2"	1	0
25	0.972823737675223	7	8	"CO2"	1	0
26	0.985698327306935	8	8	"CO2"	1	0
27	0.974564994142066	8	8	"CO2"	1	0
28	0.978441685952732	7	8	"CO2"	1	0
29	0.979821715668897	6	8	"CO2"	1	0
30	0.97801065050256	8	8	"CO2"	1	0
1	0.966114214967175	9	9	"CO2"	1	0
2	0.97917467674869	7	9	"CO2"	1	0
3	0.980506884712046	9	9	"CO2"	1	0
4	0.970798613286553	9	9	"CO2"	1	0
5	0.980879619889193	9	9	"CO2"	1	0
6	0.988087451797953	9	9	"CO2"	1	0
7	0.988188405797101	9	9	"CO2"	1	0
8	0.979868464103474	9	9	"CO2"	1	0
9	0.984959161823735	9	9	"CO2"	1	0
10	0.974233200851906	8	9	"CO2"	1	0
11	0.98449754019061	9	9	"CO2"	1	0
12	0.978715726236055	7	9	"CO2"	1	0
13	0.986126868870232	7	9	"CO2"	1	0
14	0.973357700269059	8	9	"CO2"	1	0
15	0.983997890760502	9	9	"CO2"	1	0
16	0.978134754063072	9	9	"CO2"	1	0
17	0.978267491934256	9	9	"CO2"	1	0
18	0.993391924007126	8	9	"CO2"	1	0
19	0.98209042319272	9	9	"CO2"	1	0
20	0.980087509769976	9	9	"CO2"	1	0
21	0.979177451576479	9	9	"CO2"	1	0
22	0.96916755580365	9	9	"CO2"	1	0
23	0.98445404284727	8	9	"CO2"	1	0
24	0.981559404623847	9	9	"CO2"	1	0
25	0.987770537908374	9	9	"CO2"	1	0
26	0.969781918509626	8	9	"CO2"	1	0
27	0.978167268828881	8	9	"CO2"	1	0
28	0.974415677813736	6	9	"CO2"	1	0
29	0.975817037187034	9	9	"CO2"	1	0
30	0.981381178063643	9	9	"CO2"	1	0
1	0.987160328758504	9	10	"CO2"	1	0
2	0.974535523034787	9	10	"CO2"	1	0
3	0.979148741518455	9	10	"CO2"	1	0
4	0.984130505413271	9	10	"CO2"	1	0
5	0.974106210833325	9	10	"CO2"	1	0
6	0.975206149184871	10	10	"CO2"	1	0
7	0.977788923499287	10	10	"CO2"	1	0
8	0.980944097484511	9	10	"CO2"	1	0
9	0.976899932745743	8	10	"CO2"	1	0
10	0.972580158223723	7	10	"CO2"	1	0
11	0.983308499153223	8	10	"CO2"	1	0
12	0.966503206539837	8	10	"CO2"	1	0
13	0.974136053236329	8	10	"CO2"	1	0
14	0.984097762816467	8	10	"CO2"	1	0
15	0.979578899129284	9	10	"CO2"	1	0
16	0.981377841477477	10	10	"CO2"	1	0
17	0.978289936664321	8	10	"CO2"	1	0
18	0.976324748295237	9	10	"CO2"	1	0
19	0.978148508397057	10	10	"CO2"	1	0
20	0.965412602244926	10	10	"CO2"	1	0
21	0.966447652886658	8	10	"CO2"	1	0
22	0.987833271738557	8	10	"CO2"	1	0
23	0.985617865794958	10	10	"CO2"	1	0
24	0.976598421320717	9	10	"CO2"	1	0
25	0.98868270107035	8	10	"CO2"	1	0
26	0.959616014925749	8	10	"CO2"	1	0
27	0.981297620402659	9	10	"CO2"	1	0
28	0.981896041804481	10	10	"CO2"	1	0
29	0.971578933100191	6	10	"CO2"	1	0
30	0.983019554724879	9	10	"CO2"	1	0
1	0.981001545160837	8	11	"CO2"	1	0
2	0.978600459956319	8	11	"CO2"	1	0
3	0.980118152186444	7	11	"CO2"	1	0
4	0.974647294552508	10	11	"CO2"	1	0
5	0.983448718730727	8	11	"CO2"	1	0
6	0.971499094202899	8	11	"CO2"	1	0
7	0.964303268395939	6	11	"CO2"	1	0
8	0.972983732532743	8	11	"CO2"	1	0
9	0.971076060437444	9	11	"CO2"	1	0
10	0.981705818413437	10	11	"CO2"	1	0
11	0.982924715622266	10	11	"CO2"	1	0
12	0.98446125625657	8	11	"CO2"	1	0
13	0.972126778829925	9	11	"CO2"	1	0
14	0.978260191938861	6	11	"CO2"	1	0
15	0.98540880899276	11	11	"CO2"	1	0
16	0.9743195785777	8	11	"CO2"	1	0
17	0.983237900929636	7	11	"CO2"	1	0
18	0.972605159585368	10	11	"CO2"	1	0
19	0.987115142039903	8	11	"CO2"	1	0
20	0.980691417041526	10	11	"CO2"	1	0
21	0.985284461044037	11	11	"CO2"	1	0
22	0.983151617526618	10	11	"CO2"	1	0
23	0.966159118110671	11	11	"CO2"	1	0
24	0.98122485511866	7	11	"CO2"	1	0
25	0.974143452649705	8	11	"CO2"	1	0
26	0.975178442028986	8	11	"CO2"	1	0
27	0.968465011040338	8	11	"CO2"	1	0
28	0.98415601243953	10	11	"CO2"	1	0
29	0.978195449025923	9	11	"CO2"	1	0
30	0.978338068181818	10	11	"CO2"	1	0
1	0.973413054572972	7	12	"CO2"	1	0
2	0.975429082958908	11	12	"CO2"	1	0
3	0.97727719850482	6	12	"CO2"	1	0
4	0.985531612597679	8	12	"CO2"	1	0
5	0.972113268573446	6	12	"CO2"	1	0
6	0.984759573289495	8	12	"CO2"	1	0
7	0.987240924883192	8	12	"CO2"	1	0
8	0.98030023054045	8	12	"CO2"	1	0
9	0.983980958414726	11	12	"CO2"	1	0
10	0.978526750113921	7	12	"CO2"	1	0
11	0.980809707336818	8	12	"CO2"	1	0
12	0.974094856379425	8	12	"CO2"	1	0
13	0.983144705667942	8	12	"CO2"	1	0
14	0.983735089023397	6	12	"CO2"	1	0
15	0.968597299818624	10	12	"CO2"	1	0
16	0.970905360029847	9	12	"CO2"	1	0
17	0.980602341308907	7	12	"CO2"	1	0
18	0.985600222933023	7	12	"CO2"	1	0
19	0.983784822114611	8	12	"CO2"	1	0
20	0.979487342240841	6	12	"CO2"	1	0
21	0.968663666379405	8	12	"CO2"	1	0
22	0.973831949067414	7	12	"CO2"	1	0
23	0.976911358659431	8	12	"CO2"	1	0
24	0.980326027285851	10	12	"CO2"	1	0
25	0.988173924430977	8	12	"CO2"	1	0
26	0.983601022791424	8	12	"CO2"	1	0
27	0.97587902574573	9	12	"CO2"	1	0
28	0.98277494601961	8	12	"CO2"	1	0
29	0.980329707461914	8	12	"CO2"	1	0
30	0.976260750896569	10	12	"CO2"	1	0
1	0.977777777777778	9	13	"CO2"	1	0
2	0.984784307793157	8	13	"CO2"	1	0
3	0.983244224926592	9	13	"CO2"	1	0
4	0.981113740640729	6	13	"CO2"	1	0
5	0.97497357390195	9	13	"CO2"	1	0
6	0.975631574184296	10	13	"CO2"	1	0
7	0.982964552485572	11	13	"CO2"	1	0
8	0.983465758218233	6	13	"CO2"	1	0
9	0.987579099053944	12	13	"CO2"	1	0
10	0.98738253033172	7	13	"CO2"	1	0
11	0.966460170264518	8	13	"CO2"	1	0
12	0.980917224007644	8	13	"CO2"	1	0
13	0.982555484761601	11	13	"CO2"	1	0
14	0.983955865479138	9	13	"CO2"	1	0
15	0.99242511420302	8	13	"CO2"	1	0
16	0.978630072718743	8	13	"CO2"	1	0
17	0.966682545019801	10	13	"CO2"	1	0
18	0.977296708705429	7	13	"CO2"	1	0
19	0.980143473793887	9	13	"CO2"	1	0
20	0.981295194930011	9	13	"CO2"	1	0
21	0.971958938214461	10	13	"CO2"	1	0
22	0.977742209236124	8	13	"CO2"	1	0
23	0.974944778342837	9	13	"CO2"	1	0
24	0.956194013545991	9	13	"CO2"	1	0
25	0.971808838394328	7	13	"CO2"	1	0
26	0.981261435798084	10	13	"CO2"	1	0
27	0.97725209218182	9	13	"CO2"	1	0
28	0.9825697466524	7	13	"CO2"	1	0
29	0.974449723565999	8	13	"CO2"	1	0
30	0.975763283464284	7	13	"CO2"	1	0
1	0.966252931468774	7	14	"CO2"	1	0
2	0.977209629508509	10	14	"CO2"	1	0
3	0.988449219506186	8	14	"CO2"	1	0
4	0.982519476551759	9	14	"CO2"	1	0
5	0.982947019256668	8	14	"CO2"	1	0
6	0.978080918534718	8	14	"CO2"	1	0
7	0.9742865822061	9	14	"CO2"	1	0
8	0.986131266266062	6	14	"CO2"	1	0
9	0.979374271424811	10	14	"CO2"	1	0
10	0.984379006095247	7	14	"CO2"	1	0
11	0.964511673103453	14	14	"CO2"	1	0
12	0.988126040732676	6	14	"CO2"	1	0
13	0.979190661588576	8	14	"CO2"	1	0
14	0.975750699921316	9	14	"CO2"	1	0
15	0.980477554885072	11	14	"CO2"	1	0
16	0.975846507807225	10	14	"CO2"	1	0
17	0.984730696402272	7	14	"CO2"	1	0
18	0.967617717689126	10	14	"CO2"	1	0
19	0.978088286109191	7	14	"CO2"	1	0
20	0.984618669052315	9	14	"CO2"	1	0
21	0.978322349006492	6	14	"CO2"	1	0
22	0.96693042647442	12	14	"CO2"	1	0
23	0.981106671299514	10	14	"CO2"	1	0
24	0.980648756046994	10	14	"CO2"	1	0
25	0.979822447373598	7	14	"CO2"	1	0
26	0.987138938307826	9	14	"CO2"	1	0
27	0.973230743774303	10	14	"CO2"	1	0
28	0.983379909979297	11	14	"CO2"	1	0
29	0.97177856343383	10	14	"CO2"	1	0
30	0.987222180447089	7	14	"CO2"	1	0
1	0.977688400410605	9	15	"CO2"	1	0
2	0.972474232828582	13	15	"CO2"	1	0
3	0.977120453097833	8	15	"CO2"	1	0
4	0.976313205694649	6	15	"CO2"	1	0
5	0.976823829244982	9	15	"CO2"	1	0
6	0.977921245519617	10	15	"CO2"	1	0
7	0.97306465027072	9	15	"CO2"	1	0
8	0.975569791644912	7	15	"CO2"	1	0
9	0.960126501473545	7	15	"CO2"	1	0
10	0.973306260611508	9	15	"CO2"	1	0
11	0.978460754298355	9	15	"CO2"	1	0
12	0.988132457524993	8	15	"CO2"	1	0
13	0.971786491267308	7	15	"CO2"	1	0
14	0.986784663015951	8	15	"CO2"	1	0
15	0.973388188824873	8	15	"CO2"	1	0
16	0.984865036231884	7	15	"CO2"	1	0
17	0.978053731859019	8	15	"CO2"	1	0
18	0.987527373131486	10	15	"CO2"	1	0
19	0.976152370954351	10	15	"CO2"	1	0
20	0.985853935301449	7	15	"CO2"	1	0
21	0.97700410580871	8	15	"CO2"	1	0
22	0.978303928775627	7	15	"CO2"	1	0
23	0.972960106636199	9	15	"CO2"	1	0
24	0.985212393625526	10	15	"CO2"	1	0
25	0.976539445209522	11	15	"CO2"	1	0
26	0.982285172917541	8	15	"CO2"	1	0
27	0.975004171255047	6	15	"CO2"	1	0
28	0.986268329663939	8	15	"CO2"	1	0
29	0.982784869828785	11	15	"CO2"	1	0
30	0.962501053933279	8	15	"CO2"	1	0
1	0.981634623961357	10	16	"CO2"	1	0
2	0.972652855012966	8	16	"CO2"	1	0
3	0.960911151067655	10	16	"CO2"	1	0
4	0.983332121912311	10	16	"CO2"	1	0
5	0.970298658434572	9	16	"CO2"	1	0
6	0.975071802047279	7	16	"CO2"	1	0
7	0.962418443593949	9	16	"CO2"	1	0
